OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,11,1199,ירושלים,מגורים+ בית חולים,6343,459098,מגורים,3000,1,0,2,10,8,6,3,3,12,14,1,0,0,7,10,23.960046148091013,202407,3105.631981825379171,459097.613252151873894
-1,10,150,הרצלייה,מגורים+ מכללה אקדמאית,3497,764986,מגורים,6400,1,0,0,11,5,2,5,3,11,12,1,0,0,6,8,13.072139348747138,202407,4020.561581400984323,764985.725229315459728
-1,10,1825,קריית אתא,מגורים,6602,1739985,מגורים,6800,1,1,1,15,3,6,11,0,17,18,1,0,0,11,12,5.747175294460829,202407,5416.473359774768142,1739985.207974789896980
-1,24,776,אשדוד,מגורים,2984,628229,מגורים,70,1,0,3,24,21,8,13,4,27,27,0,0,0,19,21,38.202627788221086,202407,3399.873973038706936,628229.035265470854938
-1,0,2404,באר שבע,שטח פתוח,0,722710,פנאי/טבע/ספורט,9000,3,,,,,,,,,,,,,,,0.000000000000000,202407,4573.166116669734947,722709.863808542024344
-1,1,1418,בית שמש,שטח פתוח,0,759367,פנאי/טבע/ספורט,2610,3,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1.316885425442508,202407,4752.901948742713103,759367.505084182950668
-1,0,1036,בסיס צריפין (מפונה),שטח פתוח,0,674691,פנאי/טבע/ספורט,0,3,,,,,,,,,,,,,,,0.000000000000000,202407,3320.505419613385584,674690.690087215974927
-1,49,243,בני ברק,מגורים,20615,385812,מגורים,6100,1,0,6,50,34,22,19,11,56,63,8,1,2,28,51,127.004741493431979,202407,2651.075571413141461,385812.367505460628308
-1,0,1678,חיפה,שטח פתוח,2733,581991,פנאי/טבע/ספורט,4000,3,,,,,,,,,,,,,,,0.000000000000000,202407,3596.905188540017662,581991.281525504309684
-1,5,885,רמת הכובש,מגורים,1098,2863335,מגורים,0,1,0,1,10,1,0,8,3,11,9,1,0,0,3,4,1.746215543028430,202407,7069.753870526321407,2863334.953100114129484
-1,7,2241,כפר קרע,מגורים,4081,1721925,מגורים,654,1,1,1,13,2,3,12,0,15,15,1,0,0,10,12,4.065216649313668,202407,7091.907523352154385,1721925.447978722630069
-1,0,1527,מוקאטעה בית לחם,לא ידוע,0,8982532,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202407,12955.188107028869126,8982531.895214479416609
-1,7,478,לוד,מגורים,9452,538597,מגורים,7000,1,0,1,8,5,1,6,2,9,10,1,0,0,4,8,12.996727500019039,202407,3231.847335108520838,538597.119928054627962
-1,0,1129,ירושלים,מגורים,7872,299654,מגורים,3000,1,,,,,,,,,,,,,,,0.000000000000000,202407,3476.385763649320324,299653.747797319549136
-1,25,80,תל אביב -יפו,מתחם ציבורי,1002,681513,מוסדי/ציבורי,5000,2,0,1,27,6,3,23,1,28,44,7,0,7,10,30,36.683059778871453,202407,4292.104233724149708,681513.487443579826504
-1,7,1771,טירת כרמל,מיועד למגורים,0,327507,עתידי/לא ידוע,2100,5,0,0,19,0,7,11,1,19,12,0,0,0,9,9,21.373569787269766,202407,2296.935360431004028,327507.293805887515191
-1,8,2476,קריית גת,מגורים,6187,451635,מגורים,2630,1,0,6,6,9,4,7,1,12,10,0,0,0,5,6,17.713426586905168,202407,3307.916112408723166,451634.807119367993437
-1,13,2094,הררית אבטליון,מגורים,979,39197220,מגורים,0,1,0,1,40,0,4,36,1,41,26,1,0,0,18,20,0.331656175333904,202407,50315.299304560328892,39197219.792189531028271
-1,0,1364,עין מונג'ד,לא ידוע,0,1466588,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202407,5143.253134461507216,1466588.320999139687046
-1,38,315,חולון,מגורים,6459,332246,מגורים,6600,1,0,6,41,22,16,22,9,47,56,4,0,2,27,43,114.373250187068862,202407,2418.691386803900969,332245.520153070858214
-1,17,2006,סאסא צבעון,מגורים,648,20461390,מגורים,0,1,1,3,27,0,5,23,3,31,30,5,1,0,15,23,0.830833112385435,202407,33667.818821968096017,20461389.593862812966108
-1,13,957,בני דרום ניר גלים,מגורים,2220,7164358,מגורים,0,1,2,9,19,1,3,24,3,30,25,1,1,0,18,23,1.814537964515034,202407,13696.954755262286199,7164358.230153906159103
-1,27,1608,ביר זית,לא ידוע,0,50062338,עתידי/לא ידוע,0,5,2,9,63,1,15,57,2,74,60,2,1,0,39,51,0.539327592710313,202407,45165.119788332078315,50062337.556874111294746
-1,5,2313,חזון,תעשיה,324,4936040,תעשיה/מסחר/מתקנים,0,4,0,2,6,1,2,6,0,8,6,0,0,0,6,6,1.012957684976852,202407,13865.276696960514528,4936040.344186993315816
-1,22,575,רחובות,מגורים,4770,224659,מגורים,8400,1,1,1,23,15,7,14,4,25,35,2,0,1,16,26,97.926253918531259,202407,2609.630119975063280,224658.854185341100674
-1,3,1201,אורה,מגורים,1337,1739759,מגורים,0,1,0,1,8,0,0,9,0,9,6,0,0,1,3,4,1.724376603836922,202407,6714.659228530805194,1739759.164746656781062
-1,5,2573,מצפה רמון,בסיס צבאי,0,30729912,מוסדי/ציבורי,99,2,1,6,8,0,2,12,1,15,9,1,1,0,3,6,0.162707919535405,202407,27709.691770015349903,30729911.698686569929123
-1,5,152,הרצלייה,מגורים,2780,367607,מגורים,6400,1,0,1,4,2,1,2,2,5,10,2,2,0,4,8,13.601464784658537,202407,2837.264807947988629,367607.465751750220079
-1,41,1843,קריית אתא,תעשיה,0,1947567,תעשיה/מסחר/מתקנים,6800,4,0,4,93,4,20,70,7,97,81,3,4,0,54,73,21.051909480008309,202407,6990.676891582796998,1947566.800956234103069
-1,11,794,גדרה,מגורים,5883,1522619,מגורים,2550,1,0,1,12,9,5,7,1,13,15,1,0,1,9,11,7.224394185690000,202407,5147.837350089336724,1522619.020677011227235
-1,8,2422,באר שבע,מגורים,3909,440357,מגורים,9000,1,0,1,9,4,2,6,1,10,12,1,0,1,7,11,18.167071251730484,202407,3127.783139245427719,440357.165398245968390
-1,0,1436,שמורת טבע נחל דולב,שמורת טבע,0,784600,פנאי/טבע/ספורט,0,3,,,,,,,,,,,,,,,0.000000000000000,202407,4012.230729742959284,784600.066432893858291
-1,14,387,רעננה,מגורים,6666,689359,מגורים,8700,1,0,2,22,3,6,13,4,24,26,0,0,1,17,19,20.308727763177671,202407,3555.332023748937445,689358.790134741808288
-1,1,1054,ירושלים,בסיס צבאי,0,342801,מוסדי/ציבורי,3000,2,0,1,0,0,0,1,0,1,1,1,0,0,0,1,2.917147728505733,202407,2757.729571576802755,342800.602872531104367
-1,5,5,תל אביב -יפו,מגורים,1190,823765,מגורים,5000,1,0,1,7,1,0,7,1,8,9,0,0,1,4,5,6.069693436277523,202407,3826.712747945467981,823764.833017076714896
-1,14,1680,חיפה,אצטדיון,0,348496,פנאי/טבע/ספורט,4000,3,0,2,22,2,3,20,1,24,25,0,0,0,24,24,40.172678614636077,202407,2583.597305046417659,348495.556751333759166
-1,2,647,כפר סבא,מגורים,2859,345312,מגורים,6900,1,0,0,3,0,0,2,1,3,5,0,0,0,5,5,5.791860267927404,202407,2652.943578916187107,345312.198064421245363
-1,32,2259,פרדס חנה-כרכור,מגורים,14119,4826935,מגורים,0,1,0,3,51,6,13,35,6,54,56,2,0,2,36,43,6.629465971672806,202407,13193.154245771369460,4826934.799384070560336
-1,9,1529,בית ג'אלא,לא ידוע,0,1612323,עתידי/לא ידוע,0,5,1,1,23,0,9,15,1,25,25,1,2,0,11,17,5.582006710699609,202407,7151.733040619117673,1612323.393081697635353
-1,0,480,לוד,שטח פתוח,0,493986,פנאי/טבע/ספורט,7000,3,,,,,,,,,,,,,,,0.000000000000000,202407,3416.551140771520295,493985.494516334671061
-1,40,1147,ירושלים,מגורים+ מכללה אקדמאית,4467,412742,מגורים,3000,1,0,8,50,14,9,46,2,58,67,9,2,5,31,57,96.912921289025462,202407,3160.302439120881445,412741.659914544841740
-1,87,98,תל אביב -יפו,תעשיה+ מגורים,558,231517,מגורים,5000,1,1,10,91,20,3,81,7,102,154,18,3,26,57,138,375.782273635717843,202407,2234.617115531376385,231517.040860574285034
-1,38,1789,קריית ים,מגורים,5521,599455,מגורים,9600,1,1,5,56,11,13,34,12,62,70,1,1,2,42,56,63.390913972499796,202407,3475.389040193803339,599454.994709259714000
-1,3,2494,אשקלון,מגורים,3842,257723,מגורים,7100,1,0,0,7,0,1,5,1,7,6,1,0,0,2,4,11.640424323278925,202407,2191.965831467995940,257722.563772911264095
