pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2019000014,1,1,1,3000,5580,4101,,92871252,,,,,61,2019,4,50,4,1,7,1,1,0,5,1,1,2,3,1,1,1,9,9,9,3,1,2,1,11,111,0,12,1,221906,635701
2019000025,1,1,3,0,,,,,444,0,415,3528,51,2019,6,57,4,1,6,3,2,0,3,1,1,0,3,1,1,1,2,2,9,0,0,9,4,41,412,99,99,1,200474,686393
2019000030,1,1,4,0,,,,,8900,0,536,,12,2019,3,36,4,1,5,3,3,0,3,2,1,2,3,1,9,2,9,9,9,3,3,1,2,21,212,99,99,1,247905,763901
2019000034,1,1,2,7100,740,,9999,,,,,,38,2019,8,62,4,1,3,3,2,0,3,3,0,4,3,1,1,1,9,9,9,0,0,9,6,61,614,0,14,3,157625,615733
2019000039,1,1,2,2620,301,,9999,,,,,,20,2019,5,57,4,1,7,3,2,0,1,1,1,3,3,1,1,1,9,9,9,0,0,9,5,51,512,0,16,3,186646,661836
2019000045,1,1,2,8200,199,,70,,,,,,12,2019,10,53,4,1,5,2,2,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,3,31,311,0,16,1,208817,750297
2019000056,1,1,2,4000,1020,,57,,,,,,11,2019,11,64,4,1,5,3,7,3,0,1,1,3,3,1,1,1,9,9,9,0,0,9,3,31,311,0,13,1,201865,744131
2019000060,1,1,1,3000,1058,1059,,14560234,,,,,61,2019,11,5,4,5,5,3,2,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,1,11,111,0,12,1,217444,631102
2019000065,1,1,2,3000,4099,,9999,,,,,,61,2019,6,78,4,1,6,3,2,3,0,1,1,3,2,1,1,1,9,9,9,0,0,9,1,11,111,0,12,3,222545,632983
2019000069,1,1,2,5000,404,,160,,,,,,20,2019,9,60,4,1,5,3,12,3,0,1,0,3,3,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178831,665673
