pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2018000004,1,1,1,841,104,105,,2,,,,,51,2018,9,27,4,5,1,3,2,9,0,5,1,3,3,6,1,1,9,9,9,0,0,9,4,42,421,20,31,1,193498,673585
2018000018,1,1,1,4000,896,825,,10210522,,,,,11,2018,6,67,4,1,1,3,2,2,0,1,1,2,3,1,1,1,9,9,9,0,0,9,3,31,311,0,13,1,200041,746160
2018000030,1,1,1,7100,1035,496,,10800341,,,,,38,2018,6,95,4,5,1,2,8,0,3,4,1,3,4,3,1,1,2,2,9,0,0,9,6,61,614,0,14,1,161755,620861
2018000037,1,1,4,0,,,,,91,0,80,,12,2018,7,59,4,1,7,3,8,2,0,4,1,3,3,2,1,1,6,2,9,0,0,9,2,21,213,99,99,1,258983,768323
2018000049,1,1,3,0,,,,,4,0,2112,8067,11,2018,1,69,4,5,5,3,2,0,3,1,1,5,3,6,1,1,9,9,9,0,0,9,3,31,311,99,99,1,202102,744840
2018000051,1,1,1,70,501,500,,9230007,,,,,38,2018,6,64,4,1,5,3,2,0,3,1,1,2,3,1,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167760,635948
2018000057,1,1,1,6200,221,207,,80022,,,,,20,2018,8,49,4,1,1,3,1,3,0,1,1,0,3,1,1,1,9,9,9,4,3,9,5,51,513,0,14,1,176021,659763
2018000058,1,1,1,7900,1020,1019,,99970058,,,,,51,2018,9,75,2,5,1,3,8,9,0,0,0,0,5,6,9,9,2,4,9,0,0,9,4,42,422,0,13,1,189414,667264
2018000083,1,1,2,7900,905,,108,,,,,,51,2018,9,36,4,1,5,3,4,0,2,1,1,3,3,1,1,1,9,9,9,0,0,9,4,42,422,0,13,1,186549,666621
2018000088,1,1,4,0,,,,,89,0,60,,12,2018,5,26,4,1,4,3,2,3,0,4,1,4,3,1,1,1,9,9,9,0,0,9,2,24,245,99,99,1,215172,768939
2018000094,1,1,1,6300,609,605,,8170012,,,,,20,2018,8,73,4,1,5,3,1,3,0,1,1,2,3,1,1,1,9,9,9,3,3,1,5,51,512,0,15,1,182162,663537
2018000101,1,1,3,0,,,,,4,3412,631,275,38,2018,12,15,4,5,6,3,2,0,3,5,1,3,3,3,2,2,9,9,9,0,0,9,6,61,614,99,99,1,162006,618094
2018000119,1,1,4,0,,,,,44,0,223,,52,2018,7,93,4,5,7,3,3,0,3,5,1,5,3,3,1,1,9,9,9,0,0,9,4,43,432,99,99,1,189546,647002
2018000123,1,1,2,492,0,,9999,,,,,,12,2018,12,55,4,1,7,3,1,3,0,1,1,4,2,1,1,2,9,9,9,2,2,1,2,24,241,99,27,2,234808,752008
2018000124,1,1,1,3000,1714,5405,,510533,,,,,61,2018,5,58,4,1,4,3,3,0,2,1,1,2,3,1,1,1,9,9,9,0,0,9,1,11,111,0,12,1,221126,629286
2018000139,1,1,4,0,,,,,6,0,1570,,51,2018,7,1,4,5,1,1,6,0,2,8,1,5,3,5,1,1,9,9,9,0,0,9,4,41,412,99,99,1,198556,682979
2018000143,1,1,4,0,,,,,1,0,2,,20,2018,5,45,4,1,2,2,3,1,0,6,1,5,3,1,1,1,9,9,9,0,0,9,5,51,511,99,99,1,180092,661402
2018000149,1,1,2,507,,,9999,,,,,,12,2018,6,87,4,5,6,3,2,3,0,2,1,3,3,3,1,1,9,9,9,0,0,9,2,24,245,99,27,2,215585,762096
2018000152,1,1,2,6400,584,,2,,,,,,20,2018,7,88,4,5,1,3,1,0,3,1,1,0,3,3,1,1,9,9,9,1,2,1,5,51,511,0,14,3,183456,674576
2018000169,1,1,4,0,,,,,20,0,140,,20,2018,11,55,4,1,6,2,8,1,0,5,1,4,3,1,1,1,8,4,9,0,0,9,5,51,511,99,99,1,179861,662579
2018000192,1,1,2,5000,510,,192,,,,,,20,2018,8,39,4,1,2,2,1,3,0,1,1,4,3,1,1,1,9,9,9,4,3,2,5,51,511,0,13,1,178798,666298
2018000219,1,1,4,0,,,,,780,0,20,,11,2018,2,79,4,5,7,3,2,3,0,3,1,2,3,5,1,1,9,9,9,0,0,9,3,31,311,99,99,1,209864,743430
